rch_site,scenario,dx,dy,Transient,Stationary
1,60,25.0,-25.0,1728622.8942871094,3553302.3071289062
1,61,25.0,-25.0,1169323.5778808594,1849488.3728027344
1,62,25.0,-25.0,1911500.3967285156,2855563.6596679688
1,63,25.0,-25.0,1838359.2224121094,2435188.1408691406
1,64,25.0,-25.0,1552377.0141601562,1863992.4621582031
1,65,25.0,-25.0,1166221.0845947266,1468638.916015625
1,66,25.0,-25.0,422700.69122314453,547741.3940429688
1,67,25.0,-25.0,1067520.6756591797,1215465.2404785156
1,68,25.0,-25.0,573310.546875,611063.5757446289
1,69,25.0,-25.0,721467.6666259766,1206095.8099365234
1,6,25.0,-25.0,456529.3502807617,1596863.5559082031
1,70,25.0,-25.0,1257241.0583496094,2542573.8525390625
1,71,25.0,-25.0,1545423.8891601562,3264203.4912109375
1,72,25.0,-25.0,742600.9368896484,1488862.7624511719
1,73,25.0,-25.0,2171874.542236328,2996098.3276367188
1,74,25.0,-25.0,3042225.6469726562,3943151.5502929688
1,75,25.0,-25.0,612059.0209960938,635231.0562133789
1,76,25.0,-25.0,1505461.7309570312,1153419.418334961
1,77,25.0,-25.0,1120988.8458251953,1022490.1580810547
1,78,25.0,-25.0,1019572.3724365234,1034232.0251464844
1,79,25.0,-25.0,395532.5698852539,419132.38525390625
1,7,25.0,-25.0,1266482.162475586,4405644.836425781
1,80,25.0,-25.0,860319.9768066406,1399127.6550292969
1,81,25.0,-25.0,1141130.7525634766,2000260.1623535156
1,82,25.0,-25.0,1410335.693359375,2578828.125
1,83,25.0,-25.0,119270.56312561035,285060.8253479004
1,84,25.0,-25.0,813882.8277587891,1446689.3005371094
1,85,25.0,-25.0,196175.68969726562,226715.2214050293
1,86,25.0,-25.0,9545.66478729248,8506.730794906616
1,87,25.0,-25.0,1747913.3605957031,2007127.5329589844
1,88,25.0,-25.0,826281.5856933594,1076369.2474365234
1,89,25.0,-25.0,2455077.0568847656,4243871.154785156
1,8,25.0,-25.0,193965.3205871582,707969.4366455078
1,90,25.0,-25.0,112692.71850585938,186853.31344604492
1,91,25.0,-25.0,864482.8033447266,1565453.0334472656
1,92,25.0,-25.0,1576520.2331542969,2754111.328125
1,93,25.0,-25.0,1399302.0629882812,2368254.2419433594
1,94,25.0,-25.0,695846.1761474609,1164007.9498291016
1,95,25.0,-25.0,973927.6123046875,1547910.15625
1,96,25.0,-25.0,51630.46836853027,72850.80909729004
1,97,25.0,-25.0,74156.53705596924,65223.75583648682
1,98,25.0,-25.0,210794.62051391602,248056.5643310547
1,99,25.0,-25.0,923689.1937255859,1472126.0070800781
1,9,25.0,-25.0,84703.14025878906,270724.65896606445
3,100,25.0,-25.0,5122100.2197265625,11173463.134765625
3,101,25.0,-25.0,716160.2020263672,1933058.1665039062
3,102,25.0,-25.0,4325907.287597656,8140468.75
3,103,25.0,-25.0,941752.0141601562,2346316.2231445312
3,104,25.0,-25.0,3474510.498046875,6013328.2470703125
3,105,25.0,-25.0,463096.80938720703,929049.6063232422
3,106,25.0,-25.0,1599955.9020996094,2539583.1298828125
3,107,25.0,-25.0,894591.6748046875,1621941.2231445312
3,108,25.0,-25.0,86697.1492767334,233572.7310180664
3,109,25.0,-25.0,1374297.9431152344,3492905.5786132812
3,10,25.0,-25.0,887285.3088378906,1614525.7568359375
3,110,25.0,-25.0,1151707.9162597656,2790411.0717773438
3,111,25.0,-25.0,2663011.1694335938,6421333.0078125
3,112,25.0,-25.0,2677792.3583984375,6173471.6796875
3,113,25.0,-25.0,3376107.4829101562,7160539.55078125
3,114,25.0,-25.0,4015569.4580078125,7601636.3525390625
3,115,25.0,-25.0,1835886.9934082031,3881285.0952148438
3,116,25.0,-25.0,1983797.9125976562,3491547.5463867188
3,117,25.0,-25.0,2291812.286376953,3762259.521484375
3,118,25.0,-25.0,703651.1993408203,1381114.6545410156
3,119,25.0,-25.0,1523780.9753417969,2214512.6342773438
3,11,25.0,-25.0,664550.3997802734,1261206.5124511719
3,120,25.0,-25.0,1116855.1635742188,1777064.8193359375
3,12,25.0,-25.0,1498435.6689453125,2314637.1459960938
3,13,25.0,-25.0,2316626.739501953,3514655.4565429688
3,14,25.0,-25.0,676148.9868164062,1127234.8022460938
3,15,25.0,-25.0,338054.9621582031,600282.8216552734
3,16,25.0,-25.0,877715.6066894531,1808243.5607910156
3,17,25.0,-25.0,1820092.4682617188,3916724.5483398438
3,18,25.0,-25.0,151120.72944641113,507261.46697998047
3,19,25.0,-25.0,611102.6382446289,1590220.0317382812
3,1,25.0,-25.0,1562318.7255859375,2059748.3825683594
3,20,25.0,-25.0,1572550.6591796875,3097265.625
3,21,25.0,-25.0,2409276.580810547,4229468.3837890625
3,22,25.0,-25.0,703225.7080078125,1349628.1433105469
3,23,25.0,-25.0,2358561.553955078,3535070.1904296875
3,24,25.0,-25.0,330626.86920166016,626712.3413085938
3,25,25.0,-25.0,1477138.3666992188,2815788.57421875
3,26,25.0,-25.0,2975529.1748046875,5032438.3544921875
3,27,25.0,-25.0,556037.7883911133,1291828.4606933594
3,28,25.0,-25.0,1844560.3942871094,4246177.062988281
3,29,25.0,-25.0,653585.5102539062,2065507.3547363281
3,2,25.0,-25.0,68948.52638244629,114137.17269897461
3,30,25.0,-25.0,349190.7501220703,1471623.0773925781
