time,rch_site,scenario,dx,dy,total,total_water,maximum,area
2011-10-01,1,52,25,-25,300414.981842041,21717.3504829407,0.24526596,4455625
2011-10-01,1,53,25,-25,326451.988220215,25943.1099891663,0.472723,4191875
2011-10-01,1,54,25,-25,291606.063842773,27821.3119506836,0.32771587,4353750
2011-10-01,1,55,25,-25,1288637.84790039,109299.564361572,0.9112263,9220625
2011-10-01,1,56,25,-25,120941.028594971,8251.18005275726,0.6217098,2775625
2011-10-01,1,57,25,-25,263695.983886719,15236.3336086273,0.58708096,4230000
2011-10-01,1,58,25,-25,107482.290267944,6675.73511600494,0.28310013,2365000
2011-10-01,1,59,25,-25,701054.382324219,97638.7119293213,0.5721016,5623750
2011-10-01,1,5,25,-25,500506.439208984,68211.3075256348,0.7551222,2773125
2011-10-01,1,60,25,-25,267490.730285645,51898.2458114624,0.46599674,2866875
2011-10-01,1,61,25,-25,278963.279724121,35797.712802887,0.43303728,2591250
2011-10-01,1,62,25,-25,496426.506042481,59862.2226715088,0.5979214,4457500
2011-10-01,1,63,25,-25,647003.173828125,71807.6133728027,0.8852091,5177500
2011-10-01,1,64,25,-25,572085.227966309,52194.4570541382,0.57322884,5455000
2011-10-01,1,65,25,-25,334796.447753906,36213.7413024902,0.41338253,4307500
2011-10-01,1,66,25,-25,133374.786376953,11331.7048549652,0.23010159,2478750
2011-10-01,1,67,25,-25,583389.892578125,40630.4550170898,0.53051376,5905625
2011-10-01,1,68,25,-25,365716.47644043,25272.3097801209,0.8411665,4353750
2011-10-01,1,69,25,-25,547227.668762207,45199.3417739868,0.7812176,5134375
2011-10-01,1,6,25,-25,182599.716186523,22723.1407165527,0.4857216,2007500
2011-10-01,1,70,25,-25,204251.956939697,35985.5437278748,0.42645836,2803125
2011-10-01,1,71,25,-25,239078.063964844,48186.3689422607,0.45005226,2569375
2011-10-01,1,72,25,-25,125549.821853638,18768.2008743286,0.21642399,2158125
2011-10-01,1,73,25,-25,600910.148620606,82225.1319885254,0.888988,2509375
2011-10-01,1,74,25,-25,712419.204711914,98133.487701416,0.80239487,3925625
2011-10-01,1,75,25,-25,161503.658294678,18029.8471450806,0.7458916,1797500
2011-10-01,1,76,25,-25,602759.628295899,62419.43359375,0.8886633,4620625
2011-10-01,1,77,25,-25,519431.037902832,53267.4694061279,0.8157549,4126875
2011-10-01,1,78,25,-25,276439.189910889,34246.9263076782,0.5327749,3218750
2011-10-01,1,79,25,-25,164058.837890625,19724.7588634491,0.5550699,2475625
2011-10-01,1,7,25,-25,413307.151794434,61010.422706604,0.46760368,3343750
2011-10-01,1,80,25,-25,243763.847351074,39150.5408287048,0.41068363,2970000
2011-10-01,1,81,25,-25,314865.417480469,50258.469581604,0.37282467,3386250
2011-10-01,1,82,25,-25,269102.745056152,41229.4816970825,0.31851864,3095000
2011-10-01,1,83,25,-25,21977.1218299866,3486.20146512985,0.104029655,665625
2011-10-01,1,84,25,-25,426864.204406738,48693.0179595947,0.4795704,3719375
2011-10-01,1,85,25,-25,108291.320800781,15913.0752086639,0.6949725,1069375
2011-10-01,1,86,25,-25,5955.1066160202,842.085033655167,0.22458267,138750
2011-10-01,1,87,25,-25,359570.846557617,69979.9823760986,0.6885767,2474375
2011-10-01,1,88,25,-25,89655.0846099854,14036.7150306702,0.1937828,1662500
2011-10-01,1,89,25,-25,370539.436340332,63061.5234375,0.42063046,3708750
2011-10-01,1,8,25,-25,25773.2701301575,3913.35844993591,0.13416481,818750
2011-10-01,1,90,25,-25,14561.2692832947,2121.67024612427,0.08744621,552500
2011-10-01,1,91,25,-25,231758.136749268,34038.5055541992,0.36235237,2958750
2011-10-01,1,92,25,-25,685411.682128906,88277.7976989746,0.85495377,4569375
2011-10-01,1,93,25,-25,305039.577484131,42727.518081665,0.4653921,3247500
2011-10-01,1,94,25,-25,232617.225646973,21193.3922767639,0.32471657,3140625
2011-10-01,1,95,25,-25,348947.830200195,37454.3213844299,0.44644642,3635625
2011-10-01,1,96,25,-25,23496.4847564697,1815.88798761368,0.10551071,761250
2011-10-01,1,97,25,-25,29976.3131141663,3060.52446365356,0.3938041,497500
2011-10-01,1,98,25,-25,45819.0536499023,7269.27220821381,0.40098524,650625
2011-10-01,1,99,25,-25,165313.930511475,28183.7892532349,0.3244567,1980625
2011-10-01,1,9,25,-25,10267.5151824951,1818.2735145092,0.095591545,410625
2011-10-01,3,100,25,-25,353758.850097656,74937.0622634888,0.2836428,5116875
2011-10-01,3,101,25,-25,43990.4880523682,8877.48539447784,0.116249084,1525000
2011-10-01,3,102,25,-25,645927.886962891,101544.961929321,0.50905514,6803125
2011-10-01,3,103,25,-25,90804.6054840088,15389.7452354431,0.1977768,2199375
2011-10-01,3,104,25,-25,458824.043273926,84323.4920501709,0.46963978,4841250
2011-10-01,3,105,25,-25,115710.544586182,14967.4546718597,0.1547947,2620000
2011-10-01,3,106,25,-25,504742.889404297,65488.8820648193,0.60832787,5927500
2011-10-01,3,107,25,-25,324995.422363281,37416.5892601013,0.6670933,4538750
2011-10-01,3,108,25,-25,17278.139591217,2625.89931488037,0.2470913,408125
2011-10-01,3,109,25,-25,248903.465270996,32931.4351081848,0.19506931,4372500
2011-10-01,3,10,25,-25,224424.571990967,33461.9212150574,0.36172295,2736250
2011-10-01,3,110,25,-25,102942.209243774,16834.6309661865,0.18609333,2315625
2011-10-01,3,111,25,-25,192607.116699219,37996.5710639954,0.30183506,3285625
2011-10-01,3,112,25,-25,239413.070678711,43232.9225540161,0.2717619,3812500
2011-10-01,3,113,25,-25,310482.006072998,56307.7163696289,0.2469387,4749375
2011-10-01,3,114,25,-25,390393.180847168,71360.3734970093,0.3630848,5144375
2011-10-01,3,115,25,-25,154046.020507813,28073.2154846191,0.18661404,2897500
2011-10-01,3,116,25,-25,255326.21383667,45857.7013015747,0.44704247,3252500
2011-10-01,3,117,25,-25,749013.290405274,99552.7744293213,0.6500397,6210000
2011-10-01,3,118,25,-25,222863.235473633,27371.6807365418,0.2345066,4024375
2011-10-01,3,119,25,-25,776130.21850586,93025.9609222412,0.6635971,6916875
2011-10-01,3,11,25,-25,140825.881958008,22860.6033325195,0.28801537,2018125
2011-10-01,3,120,25,-25,485150.184631348,62817.7404403687,0.4578266,5518125
2011-10-01,3,12,25,-25,198316.478729248,38206.9110870361,0.34827805,1425625
2011-10-01,3,13,25,-25,708562.164306641,108459.568023682,1.0473633,3061875
2011-10-01,3,14,25,-25,79153.8524627686,14625.2858638763,0.25917244,1201250
2011-10-01,3,15,25,-25,39096.0335731506,7563.77100944519,0.19390774,921250
2011-10-01,3,16,25,-25,403176.651000977,45508.4371566773,0.47790432,4417500
2011-10-01,3,17,25,-25,755208.81652832,106550.846099854,0.6242027,6423750
2011-10-01,3,18,25,-25,31037.1017456055,4999.68707561493,0.08229351,1117500
2011-10-01,3,19,25,-25,136380.968093872,20633.180141449,0.12776661,3203750
2011-10-01,3,1,25,-25,737754.211425781,82279.3769836426,0.9337158,2832500
2011-10-01,3,20,25,-25,330156.898498535,52618.4463500977,0.33164597,4954375
2011-10-01,3,21,25,-25,457598.571777344,82022.066116333,0.36905956,5541875
2011-10-01,3,22,25,-25,95750.4749298096,17323.1756687164,0.21216965,2118125
2011-10-01,3,23,25,-25,750026.70288086,127114.810943604,0.9252815,5798750
2011-10-01,3,24,25,-25,71226.6635894775,12784.0936183929,0.81061554,431250
2011-10-01,3,25,25,-25,104824.342727661,22375.7457733154,0.25799274,1054375
2011-10-01,3,26,25,-25,632216.415405274,114036.951065063,0.6197233,3391250
2011-10-01,3,27,25,-25,216751.003265381,22403.6550521851,0.2121563,2873750
2011-10-01,3,28,25,-25,1110175.93383789,133617.610931397,0.83179283,6551875
2011-10-01,3,29,25,-25,102744.102478027,15344.2168235779,0.16977787,2343750
2011-10-01,3,2,25,-25,19366.3942813873,1677.52221226692,0.1455841,557500
2011-10-01,3,30,25,-25,70767.5647735596,11621.6230392456,0.13720512,1957500
2011-10-01,3,31,25,-25,438617.858886719,72222.8384017944,0.3598137,5861250
2011-10-01,3,32,25,-25,173879.280090332,30024.4951248169,0.16245079,3867500
2011-10-01,3,33,25,-25,355460.777282715,63834.6338272095,0.30127144,5267500
2011-10-01,3,34,25,-25,316779.918670654,50296.9312667847,0.35811234,4363125
2011-10-01,3,35,25,-25,608786.277770996,89027.0900726318,0.88241386,5604375
2011-10-01,3,36,25,-25,78559.0553283691,9907.87327289581,0.13572693,1896250
2011-10-01,3,37,25,-25,88888.053894043,18797.6026535034,0.30961132,1276250
2011-10-01,3,38,25,-25,170449.810028076,25211.1744880676,0.40886688,1822500
2011-10-01,3,39,25,-25,368068.885803223,54030.3039550781,0.74925804,2751250
2011-10-01,3,3,25,-25,13436.7966651917,2738.0645275116,0.101099014,482500
2011-10-01,3,40,25,-25,66094.2077636719,10460.6544971466,0.24896812,1226250
2011-10-01,3,41,25,-25,389662.399291992,68598.6328125,0.3115244,4864375
2011-10-01,3,42,25,-25,328623.504638672,53754.5537948608,0.36860275,4535625
2011-10-01,3,43,25,-25,3397.87364006043,582.920126616955,0.026690483,214375
2011-10-01,3,44,25,-25,116147.632598877,19880.0325393677,0.18073559,2925000
2011-10-01,3,45,25,-25,405179.557800293,65067.925453186,0.32507515,5793125
2011-10-01,3,46,25,-25,216775.989532471,35111.1078262329,0.33143044,3670000
2011-10-01,3,47,25,-25,212059.555053711,30637.629032135,0.2052803,3751250
2011-10-01,3,48,25,-25,143305.988311768,19519.4435119629,0.18544197,2943750
2011-10-01,3,49,25,-25,246842.422485352,45347.0516204834,0.4112873,2855000
2011-10-01,3,4,25,-25,97352.76222229,17140.6471729279,0.11881542,2016875
