x,y,gaussian_sigma,transmissivity,resistance,depth,sto_baseline,sto_unsat,sto_por,river_stage,river_stage_ghg,river_stage_zeros,river_stage_ghg_zeros,river_stage_depth,river_stage_maxdepth,river_conductance_ghg,river_conductance,river_conductance_zeros,drain_binary,drain_level,drain_level_maxdepth,drain_level_depth,drain_conductivity,drain_conductivity_zeros,river_density,river_density_ghg
205987.5,439762.5,500,931.87415,22461.262,1.6308472,0.13630493,0.13802353,0.34237555,-0.074147314,-0.5742258,-0.0022512232,-0.014408668,1.6001997,72.91059,27.434725,26.361586,0.80037713,0.00838717579145476,0.29895094,74.567726,1.6218841,8.930001,0.07489748,0.030361494,0.02509234
205987.5,440787.5,500,1008.8844,8342.197,1.3415638,0.10566265,0.16194789,0.34843904,-0.02549293,-0.58234507,-0.0022041078,-0.040401056,1.2747492,68.69229,13.959055,12.929052,1.1178403,0.00633059823065658,-0.10389468,74.71921,1.3341079,8.93,0.056532245,0.08645957,0.06937649
205987.5,441837.5,500,1362.7836,5467.257,0.67127615,0.075109094,0.14267881,0.36525047,-0.2110886,-0.5643752,-0.042644903,-0.10639696,0.51131207,59.9619,14.810627,14.420109,2.913204,0.00254820052666515,-0.25258923,75.00364,0.66849357,8.93,0.022755431,0.20202371,0.18852167
205987.5,442887.5,500,1886.3083,7073.2476,0.6542648,0.061458692,0.14792427,0.37587595,-0.13803104,-0.46503162,-0.03319352,-0.10447651,0.47088486,57.079697,16.923738,16.372559,3.937251,0.00293646395403449,-0.47386664,74.9737,0.6510653,8.93,0.026222624,0.24047868,0.22466539
205987.5,443912.5,500,1540.4191,14839.842,0.84675574,0.077326275,0.15539134,0.37751758,-0.038106743,-0.49363062,-0.008488711,-0.092860006,0.67081606,58.43667,20.719057,19.21514,4.2803855,0.02392748226434,-0.43074805,73.386345,0.8207296,8.93,0.21367243,0.22276077,0.18811639
205987.5,444962.5,500,1108.626,33925.86,1.424456,0.10897448,0.1595063,0.36075786,0.22502856,-0.54497707,0.041606557,-0.06503392,1.250008,61.334194,17.30355,15.420517,2.845066,0.0202094239068366,0.7475621,73.691345,1.4030358,8.93,0.18047017,0.18468532,0.11933331
205987.5,446012.5,500,808.82556,52616.184,2.2393353,0.13087867,0.13422674,0.35890546,0.5272226,-0.07658208,0.0987404,-0.009074769,2.0167346,61.211647,69.595,55.690304,10.205417,0.00551314288880642,0.95279855,74.78659,2.2334828,8.93,0.049232367,0.1722597,0.11849728
205987.5,447037.5,500,681.97534,43276.48,2.5801697,0.1647978,0.1051291,0.3454345,0.41725472,0.19957727,0.13090666,0.048196282,2.2745483,51.73536,103.79118,109.137665,33.90941,0.000696440144017188,0.7421391,75.14405,2.5794325,8.93,0.0062192106,0.24233067,0.24149184
205987.5,448087.5,500,866.84076,27310.406,2.7254524,0.16300006,0.10749889,0.34705985,0.39057475,0.21335047,0.09926934,0.042187225,2.4688983,56.183216,88.45483,111.09749,28.227367,5.19536244348993e-05,0.8558654,75.19204,2.7253966,8.93,0.00046394588,0.22158366,0.19773673
205987.5,449137.5,500,1486.5018,18543.465,2.07034,0.13274463,0.12784119,0.36149913,0.2354752,0.24322869,0.057307076,0.054054853,1.8719425,56.95295,64.7627,67.17299,16.34774,4.92689889155526e-06,1.6069809,75.19553,2.070333,8.930001,4.399721e-05,0.2064831,0.22223881
205987.5,450162.5,500,2024.2784,8859.881,2.0201497,0.13414063,0.1251779,0.35501447,0.24404898,0.32606,0.07578167,0.09502753,1.7689344,51.921978,43.379185,41.958717,13.02895,0.000293281932617465,1.6531754,75.17433,2.0196373,8.929999,0.0026190076,0.24619663,0.29144186
205987.5,451212.5,500,1864.8214,10069.095,2.2965477,0.11382417,0.14603816,0.3612637,0.69387144,0.011043004,0.13519564,0.0014415757,2.1202512,60.679737,33.005974,26.49287,5.161937,0.000864047563001884,1.529078,75.13225,2.295235,8.93,0.007715945,0.17660655,0.130542
205987.5,452262.5,500,1658.9445,18787.977,1.9606937,0.12660004,0.12699763,0.35577625,0.38396445,0.11979015,0.08554339,0.01854468,1.7614447,58.52856,51.783165,40.20494,8.957253,0.0145344836054758,0.66000426,74.11256,1.9458007,8.93,0.12979294,0.20023312,0.15480971
205987.5,453287.5,500,1565.3899,33128.33,1.7126262,0.12905401,0.14194871,0.350287,0.6528816,-0.08443731,0.18164587,-0.00996392,1.4667615,54.45641,34.472546,23.4956,6.536987,0.0713353234480877,0.44651252,69.863625,1.6481038,8.93,0.63702446,0.26584482,0.11800376
205987.5,454337.5,500,1555.6224,52134.875,1.5535598,0.1320643,0.14960188,0.33949143,0.5563181,-0.2306982,0.17863625,-0.027174002,1.2921726,51.228794,23.299215,17.431124,5.597213,0.16668612629544,0.30912286,62.713314,1.4089235,8.93,1.4885072,0.31719694,0.11779027
205987.5,455387.5,500,1327.1002,61732.793,1.0554824,0.11284686,0.14373103,0.34132293,0.16489136,-0.26915148,0.05310036,-0.056286827,0.80899704,51.033485,23.398418,20.603565,6.6350155,0.110688443517758,0.014801921,66.87422,0.94907004,8.93,0.98844784,0.32192373,0.20912695
205987.5,456412.5,500,897.81824,40193.043,0.98397636,0.11546264,0.14259042,0.33869424,0.13986437,-0.21781537,0.03772447,-0.03863174,0.79160994,54.95165,46.649303,47.72398,12.872198,0.150189129274639,0.07039108,63.912865,0.828839,8.93,1.341189,0.26972046,0.17736003
205987.5,457462.5,500,846.8637,35756.168,0.69941074,0.10877579,0.1461274,0.34590477,-0.086218566,-0.3278175,-0.020724691,-0.06760102,0.5484226,57.100044,23.096275,27.186485,6.534921,0.0397489250688812,-0.16741677,72.20029,0.6601374,8.93,0.3549579,0.24037388,0.20621541
205987.5,458512.5,500,1639.13,69394.77,0.69565046,0.10011313,0.15563424,0.34324858,-0.01112795,-0.2575232,-0.0025145295,-0.0448499,0.56317675,58.20173,39.91267,37.507755,8.475448,0.0220731952219288,-0.31359497,73.52917,0.6756319,8.93,0.19711363,0.22596522,0.17415866
205987.5,459562.5,500,1755.895,64310.293,0.77674884,0.09479085,0.19280456,0.3452302,-0.0067766546,-0.28769055,-0.0015650576,-0.04741747,0.62603134,57.82796,51.571487,54.995255,12.701066,0.0398987114252493,-0.3098165,72.18332,0.7415327,8.93,0.3562955,0.2309484,0.16482109
207012.5,439762.5,500,898.1171,54127.504,1.6832585,0.12857154,0.15496852,0.34227464,0.10776116,-0.5409447,0.0054202382,-0.01925391,1.6348605,71.41907,53.868336,46.70081,2.3489866,0.00751798904457812,0.4899988,74.63426,1.6763325,8.93,0.06713565,0.050298627,0.03559312
207012.5,440787.5,500,934.89594,38439.78,1.2423658,0.10677375,0.15982461,0.34735093,0.02435716,-0.5361876,0.0024876709,-0.045388687,1.1609343,67.5184,13.843973,12.79878,1.3071784,0.00994942418820837,0.19045462,74.44964,1.2324753,8.93,0.08884836,0.10213304,0.08465076
207012.5,441837.5,500,1142.9597,28895.834,0.7239497,0.08038695,0.16603583,0.3537013,-0.19112645,-0.5319945,-0.035710856,-0.093737125,0.5790999,61.110275,16.79465,16.254992,3.03715,0.0241623867313467,-0.21716878,73.37374,0.7054481,8.93,0.21577013,0.18684414,0.17619942
207012.5,442887.5,500,1439.1216,30232.135,0.7564096,0.0741471,0.13686953,0.36159444,-0.1065184,-0.4430339,-0.020867197,-0.080976576,0.6104535,60.443985,22.508152,21.588594,4.2292547,0.00250736237062736,-0.22148474,75.0068,0.75443184,8.930001,0.022390747,0.19590227,0.18277737
207012.5,443912.5,500,1437.049,37982.08,0.7063694,0.063921966,0.1340327,0.37975124,-0.1461061,-0.44666183,-0.025950843,-0.07316307,0.56761974,61.813923,39.872208,37.563572,6.6715465,0.00555028212418458,-0.2925623,74.77692,0.7006116,8.93,0.049564023,0.17761643,0.16379969
207012.5,444962.5,500,1271.7189,43974.965,1.2276576,0.100778565,0.15135495,0.36570677,0.18001579,-0.4261325,0.03581735,-0.057106044,1.0518734,60.270153,36.102985,28.819372,5.6658025,0.0244467251485981,0.54859763,73.37102,1.2063898,8.93,0.21830927,0.198342,0.13401006
207012.5,446012.5,500,994.09467,43966.426,1.8339071,0.12942013,0.14685129,0.36114663,0.45319986,-0.091620505,0.112628125,-0.014515419,1.5655744,56.621025,100.41978,80.37276,18.690737,0.0122168493447476,0.58194524,74.284355,1.8239129,8.93,0.10909647,0.23896213,0.1584298
207012.5,447037.5,500,809.8821,37395.75,2.6081638,0.16601813,0.12215221,0.3365687,0.7538856,0.12174101,0.18038233,0.013283081,2.3469079,57.384148,165.84436,130.73315,29.6141,0.00449204358440554,0.9707602,74.86248,2.6029544,8.93,0.040113952,0.2308263,0.10910934
207012.5,448087.5,500,1093.561,34867.387,2.7570126,0.16075179,0.13168623,0.34013733,0.65183467,0.30568624,0.14654878,0.03662372,2.5502973,58.436527,48.437374,95.8293,21.511135,0.0048954910418961,1.6832929,74.83602,2.7513318,8.93,0.043716736,0.2107918,0.11980821
207012.5,449137.5,500,1445.5288,30805.584,2.234627,0.1221462,0.115529716,0.3623907,0.25869808,0.15988871,0.04329558,0.024601057,2.108166,62.654446,36.78358,40.016384,6.697122,0.0021938144451827,1.6940457,75.03465,2.2320776,8.93,0.019590763,0.15277489,0.15386362
207012.5,450162.5,500,1674.7301,23792.668,1.8847106,0.12163824,0.10698611,0.36021647,0.25106725,0.15513629,0.0670761,0.039489068,1.6683806,55.173347,32.58316,31.503187,8.416513,0.000141021182456808,0.70292825,75.185394,1.8845434,8.93,0.0012593193,0.2281695,0.25454438
207012.5,451212.5,500,1793.6554,28368.871,1.971349,0.10666153,0.1335816,0.35974413,0.59234416,-0.06929663,0.12814847,-0.011683921,1.7882485,59.056076,21.222397,17.848875,3.8614473,0.00953826906213109,0.7520147,74.48583,1.9607854,8.93,0.08517674,0.20392238,0.16860735
207012.5,452262.5,500,1727.0554,39377.492,1.9031261,0.12440586,0.1539522,0.35617614,0.3926657,-0.17126063,0.079415485,-0.027871441,1.7223406,60.067165,35.666565,30.626276,6.194074,0.018746284894847,0.67448235,73.7989,1.8844895,8.93,0.16740432,0.18630423,0.16274284
207012.5,453287.5,500,1677.4741,47246.91,1.5400262,0.15045503,0.13591623,0.35752684,0.2309285,0.081962414,0.07469986,0.023761768,1.2682155,50.94652,52.76217,49.250717,15.931432,0.00454451147843863,0.35372743,74.85578,1.5358539,8.93,0.04058249,0.22149889,0.28991055
207012.5,454337.5,500,1626.7963,54702.773,1.708545,0.14808601,0.1280998,0.34907004,0.5096684,0.0904983,0.13768615,0.016581468,1.5187336,55.019527,42.095303,33.788124,9.1278105,0.00804032737156232,0.4555673,74.59496,1.7012979,8.93,0.07180013,0.1942379,0.18322408
207012.5,455387.5,500,841.9146,31764.46,1.6234179,0.13827361,0.12349896,0.34111992,0.30815032,-0.21311828,0.053293668,-0.022512041,1.4656357,62.24429,39.578346,29.966928,5.1826897,0.0198711077160317,0.44521907,73.71052,1.6027491,8.93,0.177449,0.16212706,0.10563167
207012.5,456412.5,500,399.08597,10421.872,1.6401862,0.14565022,0.122466676,0.33585134,0.27805567,-0.23917617,0.035366733,-0.017927725,1.526785,65.66688,23.55202,20.149464,2.5628705,0.0906561333629346,0.64723206,68.43761,1.5449413,8.93,0.8095593,0.12591062,0.07495615
207012.5,457462.5,500,1084.8551,44282.844,1.199946,0.11076942,0.13584901,0.34656343,-0.13370115,-0.42280126,-0.020283192,-0.0572764,1.0599165,63.76799,18.65631,18.316607,2.778729,0.0257039707466596,0.6579492,73.279976,1.1729163,8.93,0.22953646,0.15169615,0.13546886
207012.5,458512.5,500,1225.5002,48257.19,1.0628172,0.10315254,0.16053693,0.34959263,-0.101519376,-0.3568806,-0.015372842,-0.048436634,0.9313244,63.79379,18.66573,17.683125,2.677714,0.00325489395914158,-0.31532738,74.95012,1.0589923,8.93,0.029066203,0.15142766,0.13572223
207012.5,459562.5,500,944.4426,30243.482,0.98715967,0.102568306,0.18729155,0.36214083,-0.09783688,-0.3882377,-0.015826829,-0.053938903,0.8638466,63.01582,20.317142,20.288956,3.2820938,0.0132991444838418,0.10635153,74.19727,0.971351,8.929999,0.11876136,0.16176751,0.13893268
208037.5,439762.5,500,803.0625,73002.75,1.3665506,0.114749834,0.15988092,0.34323347,-0.056430247,-0.57427627,-0.0047806995,-0.041758537,1.2893927,68.82062,22.737486,21.240314,1.7994528,0.004298718782576,0.37961206,74.87428,1.3625486,8.93,0.03838756,0.08471874,0.07271507
208037.5,440787.5,500,842.99005,68278.64,1.0464087,0.1030341,0.15126905,0.34584868,-0.017615305,-0.5117602,-0.0029778117,-0.07507057,0.9059732,62.481293,17.371796,16.023958,2.7087996,0.00423210072078221,0.040599447,74.87784,1.0430115,8.93,0.03779266,0.16904685,0.14669092
