y,y_hat,label
-1.5971092887254,-1.65779578685761,workflow
-1.8562488834887,-1.73235249519348,workflow
-1.52247131545249,-1.34305143356323,workflow
-1.44618155664898,-1.30329501628876,workflow
-1.46795831382525,-1.42884397506714,workflow
-1.80376766368936,-1.70975863933563,workflow
-1.82934274988413,-1.664421916008,workflow
-1.71135714956343,-1.56809759140015,workflow
-1.12453654192759,-1.17099094390869,workflow
-1.32797637915767,-1.28898787498474,workflow
-1.09005903876117,-1.13734030723572,workflow
-1.65245863070003,-1.71482396125793,workflow
-1.61102070487159,-1.79504644870758,workflow
-1.88516423473954,-1.87854623794556,workflow
-1.67852413451979,-1.57076179981232,workflow
-1.82566680079851,-1.84101271629334,workflow
-1.04418107687372,-1.13503897190094,workflow
-1.6312618520054,-1.71040534973145,workflow
-1.27057266042845,-0.937024176120758,workflow
-1.77502113863466,-1.58699595928192,workflow
-1.85435105324663,-1.74468171596527,workflow
-1.34616190384182,-1.43308651447296,workflow
-1.42272178391714,-1.44527554512024,workflow
-1.61157438817057,-1.65330100059509,workflow
-1.52691224259046,-1.51723849773407,workflow
-1.89035180955273,-1.91776084899902,workflow
-1.53512949043623,-1.53422427177429,workflow
-1.59856839359007,-1.64948582649231,workflow
-1.66335497297697,-1.55428910255432,workflow
-1.65566716051623,-1.72245621681213,workflow
-1.49748462058811,-1.57514095306396,workflow
-1.72623119287702,-1.71036195755005,workflow
-1.66149412174577,-1.46372771263123,workflow
-0.915658192383998,-0.893562734127045,workflow
-1.0281184245006,-1.03774785995483,workflow
-1.61918945973341,-1.67080926895142,workflow
-1.57811516663328,-1.75369083881378,workflow
-1.46391737607631,-1.61507081985474,workflow
-1.45638769617009,-1.81693863868713,workflow
-1.74254137703261,-1.79387629032135,workflow
-1.17523125819496,-1.25729584693909,workflow
-1.66461939904401,-1.63790845870972,workflow
-1.86732273576172,-1.85069990158081,workflow
-1.75369718830823,-1.53065419197083,workflow
-1.80772555374932,-1.6755850315094,workflow
-1.68457569209624,-1.62976026535034,workflow
-1.76347736278653,-1.83666241168976,workflow
-1.65259616343097,-1.68661165237427,workflow
-2.01751179962179,-1.90720915794373,workflow
-1.8263075609161,-1.64415514469147,workflow
-1.76621049555372,-1.69383466243744,workflow
-1.68979309400981,-1.48826026916504,workflow
-2.11435011045996,-1.92808771133423,workflow
-1.96614013697024,-1.82437217235565,workflow
-1.77168101443455,-1.83457851409912,workflow
-2.11409948206877,-2.0641667842865,workflow
-2.1789013153903,-2.1413791179657,workflow
-1.51100692825638,-1.50806736946106,workflow
-2.09934273886491,-1.92353904247284,workflow
-1.50932018602644,-1.60907852649689,workflow
-1.88271437723897,-1.79509210586548,workflow
-2.1959131144679,-1.86830532550812,workflow
-1.52026654805678,-1.52046644687653,workflow
-1.44615988379577,-1.52276456356049,workflow
-1.4447312753136,-1.45419216156006,workflow
-2.13148318698968,-1.92072951793671,workflow
-1.82126775241879,-1.75317752361298,workflow
-2.01557304476162,-1.66640281677246,workflow
-1.38367351737543,-1.41244792938232,workflow
-2.00176200372204,-1.67344856262207,workflow
-1.76772893726088,-1.56935608386993,workflow
-1.36456032205193,-1.24225199222565,workflow
-1.66327020203794,-1.69795620441437,workflow
-1.94924605825194,-1.7002866268158,workflow
-1.98299395345824,-1.86299061775208,workflow
-1.59820464295985,-1.54934012889862,workflow
-1.69606042770425,-1.7961939573288,workflow
-1.57609565615266,-1.50263059139252,workflow
-1.39782963199679,-1.36921262741089,workflow
-1.67356356842994,-1.79618608951569,workflow
-1.60514730524833,-1.50431180000305,workflow
-1.13850019917081,-1.2150000333786,workflow
-1.82509881029699,-1.81042945384979,workflow
-1.98926461348407,-1.97172403335571,workflow
-1.71914598364807,-1.78588092327118,workflow
-1.92234766231918,-1.91047704219818,workflow
-1.6846370079933,-1.74896216392517,workflow
-1.45242452723109,-1.38579821586609,workflow
-1.67521763996767,-1.70314717292786,workflow
-1.69120268396888,-1.75613653659821,workflow
-1.52483949902041,-1.37819361686707,workflow
-1.80588388597083,-1.89469075202942,workflow
-2.08078012889117,-2.02001142501831,workflow
-2.03967730768366,-2.05937504768372,workflow
-2.2803370520317,-2.39812779426575,workflow
-1.93875872641645,-1.81439340114594,workflow
-2.40120021437392,-2.34583878517151,workflow
-1.45002778513991,-1.49840009212494,workflow
-1.58739887409282,-1.72247362136841,workflow
-1.50467005355475,-1.58743059635162,workflow
-2.10362303079902,-1.93871986865997,workflow
-2.06908761232061,-2.14603853225708,workflow
-1.12919578352817,-1.180868268013,workflow
-1.88372368321874,-1.78969013690948,workflow
-1.65615682491572,-1.6664571762085,workflow
-1.58674736374455,-1.59730064868927,workflow
-1.70556862039703,-1.71327352523804,workflow
-2.03345333457184,-1.79654145240784,workflow
-1.7555901121855,-1.82878708839417,workflow
-2.13028799350108,-2.2852611541748,workflow
-2.00509971351343,-1.87371981143951,workflow
-1.40512293542105,-1.50653612613678,workflow
-1.82563397812732,-1.9295380115509,workflow
-1.30165915875108,-1.23624193668365,workflow
-2.13090568704684,-1.86576235294342,workflow
-1.5066593511382,-1.55746340751648,workflow
-2.06924252537799,-1.846519947052,workflow
-1.55422935098021,-1.66280961036682,workflow
-1.74184087751017,-1.72316741943359,workflow
-1.86535702040904,-1.80674970149994,workflow
