y,y_hat0500,y_hat0250,y_hat1000,ABS_err0500,ABS_err0250,ABS_err1000,Pc_err0500,Pc_err0250,Pc_err1000
-2.080780129,-1.920756221,-2.020011425,-1.694457054,0.160023908,0.060768704,0.386323075,7.690572678,2.920476942,18.56626125
-2.039677308,-2.015411139,-2.059375048,-1.956997514,0.024266169,0.01969774,0.082679794,1.189706286,0.965728252,4.053572278
-2.280337052,-2.228170872,-2.398127794,-2.248884678,0.05216618,0.117790742,0.031452374,2.287652181,5.16549701,1.379286194
-1.938758726,-1.864276886,-1.814393401,-1.857614636,0.07448184,0.124365325,0.08114409,3.841728185,6.414688098,4.185362979
-2.401200214,-2.230161428,-2.345838785,-2.240917921,0.171038786,0.055361429,0.160282293,7.123053917,2.305573224,6.675090746
-1.450027785,-1.472478747,-1.498400092,-1.472572923,0.022450962,0.048372307,0.022545138,1.548312554,3.335957247,1.55480728
-1.587398874,-1.656076312,-1.722473621,-1.694147587,0.068677438,0.135074747,0.106748713,4.326413423,8.509187544,6.724756737
-1.504670054,-1.515254498,-1.587430596,-1.511699557,0.010584444,0.082760543,0.007029504,0.703439531,5.500245227,0.467179082
-2.103623031,-1.947202206,-1.938719869,-2.052440166,0.156420825,0.164903162,0.051182864,7.435782117,7.839007262,2.433081573
-2.069087612,-2.254122972,-2.146038532,-1.9099859,0.18503536,0.07695092,0.159101712,8.942848001,3.719074991,7.689462324
-1.129195784,-1.215456605,-1.180868268,-1.286801338,0.086260821,0.051672484,0.157605555,7.639137755,4.576042989,13.95732759
-1.883723683,-1.62757504,-1.789690137,-1.826177239,0.256148643,0.094033546,0.057546444,13.59799453,4.991897015,3.054930206
-1.656156825,-1.565003872,-1.666457176,-1.527205348,0.091152953,0.010300351,0.128951477,5.503884151,0.621942991,7.786187574
-1.586747364,-1.532765031,-1.597300649,-1.564654827,0.053982333,0.010553285,0.022092537,3.402074843,0.665089175,1.39231595
-1.70556862,-1.604805708,-1.713273525,-1.517284513,0.100762912,0.007704905,0.188284108,5.907877951,0.451749918,11.03937453
-2.033453335,-1.91529119,-1.796541452,-2.115831852,0.118162144,0.236911882,0.082378517,5.810910062,11.65071645,4.051163407
-1.755590112,-1.794811726,-1.828787088,-1.818652272,0.039221613,0.073196976,0.06306216,2.234098561,4.169365941,3.59207765
-2.130287994,-2.157650948,-2.285261154,-2.208046198,0.027362954,0.154973161,0.077758204,1.28447206,7.274751637,3.650126397
-2.005099714,-1.880670428,-1.873719811,-1.910414457,0.124429285,0.131379902,0.094685256,6.205640767,6.552287709,4.72222182
-1.405122935,-1.511779904,-1.506536126,-1.582708478,0.106656969,0.101413191,0.177585543,7.590579177,7.217389181,12.63843455
-1.825633978,-1.796849132,-1.929538012,-1.791088104,0.028784847,0.103904033,0.034545874,1.576704142,5.691394588,1.89226725
-1.301659159,-1.036894798,-1.236241937,-1.047507167,0.26476436,0.065417222,0.254151992,20.34052914,5.025679851,19.52523364
-2.130905687,-2.068264723,-1.865762353,-2.14214468,0.062640964,0.265143334,0.011238993,2.939640389,12.44275313,0.527427987
-1.506659351,-1.615585804,-1.557463408,-1.669627666,0.108926453,0.050804056,0.162968315,7.229666929,3.371967017,10.81653363
-2.069242525,-1.887812018,-1.846519947,-1.90518415,0.181430507,0.222722578,0.164058376,8.767967252,10.76348353,7.92842664
-1.554229351,-1.683809876,-1.66280961,-1.658680797,0.129580525,0.108580259,0.104451446,8.337284673,6.986115615,6.720465392
-1.741840878,-1.637680054,-1.723167419,-1.659476757,0.104160824,0.018673458,0.08236412,5.979927624,1.07205304,4.728567433
-1.86535702,-1.764505744,-1.806749701,-1.693789721,0.100851276,0.058607319,0.1715673,5.40654016,3.141882131,9.197558322
